Sample in Buffer	Sample in Window	/UB/fft/xn_index	/UB/fft/xn_re	/UB/fft/xn_im	/UB/fft/xk_index	/UB/fft/xk_re	/UB/fft/xk_im
989	989	00B0	226C	1042	001D	0301	0305	
990	990	00B1	240E	0BCA	001E	FF1A	01F3	
991	991	00B2	21DE	0608	001F	009F	FFD7	
992	992	00B3	1C0E	1DE8	0020	0094	0025	
993	993	00B4	1336	1290	0021	00C3	FF0A	
994	994	00B5	0834	2386	0022	0187	FEB1	
995	995	00B6	7C66	209A	0023	00BB	0025	
996	996	00B7	70FC	0A38	0024	00D7	0044	
997	997	00B8	672E	110A	0025	FF0C	0173	
998	998	00B9	6002	1603	0026	FFCA	0216	
999	999	00BA	5C3E	4A4B	0027	FAC2	FFF3	
1000	1000	00BB	5C82	7F37	0028	F8F0	016D	
1001	1001	00BC	609E	65FD	0029	0515	0002	
1002	1002	00BD	6810	4F97	002A	02ED	FD11	
1003	1003	00BE	7214	5CA9	002B	0116	FF40	
1004	1004	00BF	7D80	5D83	002C	0257	00A7	
1005	1005	00C0	0920	5208	002D	001E	FFDD	
1006	1006	00C1	13D2	69D4	002E	00F3	00C0	
1007	1007	00C2	1C80	63FA	002F	FF9B	FF41	
1008	1008	00C3	223E	7F74	0030	FF7A	FF68	
1009	1009	00C4	2444	3B08	0031	FFB8	FFB4	
1010	1010	00C5	2242	057E	0032	FE92	FDB9	
1011	1011	00C6	1C5E	1D96	0033	028F	FDEA	
1012	1012	00C7	1382	1280	0034	01BC	FF49	
1013	1013	00C8	08B6	23A2	0035	023F	FFE1	
1014	1014	00C9	7D0C	20D8	0036	0383	FC9B	
1015	1015	00CA	719C	0A9A	0037	0151	0365	
1016	1016	00CB	6788	11A0	0038	FF1C	01AC	
1017	1017	00CC	601C	16AF	0039	014C	0356	
1018	1018	00CD	5C48	4AF9	003A	FE9F	022C	
1019	1019	00CE	5C52	7FC5	003B	00C8	00DF	
1020	1020	00CF	602E	664F	003C	FF67	0122	
1021	1021	00D0	676C	4FAF	003D	0174	FF27	
1022	1022	00D1	7148	5C97	003E	024C	016F	
1023	1023	00D2	7CDC	5D5D	003F	00C6	011B	
