Sample in Buffer	Sample in Window	/UB/fft/xn_index	/UB/fft/xn_re	/UB/fft/xn_im	/UB/fft/xk_index	/UB/fft/xk_re	/UB/fft/xk_im
154	154	006D	1AF4	1E5A	00DA	FCEF	FEF3	
155	155	006E	11F4	12A6	00DB	FF39	FE89	
156	156	006F	06F6	2338	00DC	FEFB	FE39	
157	157	0070	7B24	2018	00DD	FDA3	FF79	
158	158	0071	6FB8	297E	00DE	FE8E	FEC8	
159	159	0072	660A	1016	00DF	FFBE	FEEF	
160	160	0073	5F44	14D7	00E0	0057	FEA8	
161	161	0074	5C1E	48FB	00E1	FF76	FEC1	
162	162	0075	5CE4	7DF1	00E2	FFF8	FF67	
163	163	0076	6140	64FB	00E3	0043	0031	
164	164	0077	68C8	6F0B	00E4	0274	FD3C	
165	165	0078	7300	5C85	00E5	FD25	FF9C	
166	166	0079	7EB4	5DC1	00E6	FE4D	FF53	
167	167	007A	0A96	52B4	00E7	FFCD	FE4B	
168	168	007B	1548	6AC4	00E8	FEEC	FFA9	
169	169	007C	1DA8	652E	00E9	FF66	FEF5	
170	170	007D	22C8	30BE	00EA	002B	FFB0	
171	171	007E	241C	0C4A	00EB	FF3E	FE62	
172	172	007F	2198	0674	00EC	FE47	FE84	
173	173	0080	1B96	1E30	00ED	004B	FE9E	
174	174	0081	1296	12A6	00EE	FFE1	FF93	
175	175	0082	0788	234A	00EF	0024	FEE5	
176	176	0083	7BAC	202C	00F0	0021	FE57	
177	177	0084	7056	29B6	00F1	0026	FFA4	
178	178	0085	66B8	107E	00F2	01B0	FCFF	
179	179	0086	5FCE	157B	00F3	FCCC	FFB8	
180	180	0087	5C5A	09CD	00F4	0089	006D	
181	181	0088	5CD0	7ECB	00F5	FF2D	FEDC	
182	182	0089	60F6	6595	00F6	FFC1	FF6C	
183	183	008A	684C	6F43	00F7	0050	FF5A	
184	184	008B	7254	5C85	00F8	FF35	FF7D	
185	185	008C	7DF8	5D9F	00F9	008F	FE85	
186	186	008D	09E6	525E	00FA	FFDF	FE49	
187	187	008E	14A8	6A60	00FB	FFF1	FF1E	
188	188	008F	1D22	64BA	00FC	005D	FEA9	
189	189	0090	226E	304A	00FD	0109	FE9E	
190	190	0091	2400	0BCE	00FE	FF62	FE28	
191	191	0092	21DE	0608	00FF	0198	FD96	
192	192	0093	1C12	1DDE	0000	7D87	7C54	
193	193	0094	1324	1284	0001	03FA	07C7	
194	194	0095	081C	2376	0002	02E3	0609	
195	195	0096	7C32	209A	0003	FF51	0355	
196	196	0097	70BE	2A3A	0004	008F	0313	
197	197	0098	670E	1104	0005	002A	051C	
198	198	0099	600E	15E7	0006	02D7	041C	
